year,state_abbr,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
2010,AL,Alabama,4785401,18363,275,4864,11869,168828,42484,115564,10780
2011,AL,Alabama,4803689,20166,299,4906,13591,173192,51119,111411,10662
2012,AL,Alabama,4817528,21693,342,5020,15035,168878,47481,111523,9874
2013,AL,Alabama,4833996,20834,346,4645,13788,161835,42410,108862,10563
2014,AL,Alabama,4846411,20727,276,4702,13744,154087,39723,104223,10141
2015,AL,Alabama,4853875,22957,348,4612,15960,144785,35265,99182,10338
2016,AL,Alabama,4860545,25878,407,4687,18869,143259,34045,97498,11716
2017,AL,Alabama,4875120,25469,419,4233,18816,143774,31270,99707,12797
2018,AL,Alabama,4887681,25567,383,4047,19105,138702,29101,96328,13273
2019,AL,Alabama,4907965,24769,390,3922,18338,128726,24805,91225,12696
2020,AL,Alabama,4921532,22322,471,2666,17577,105161,19660,74575,10926
2010,AK,Alaska,714146,4537,31,594,3379,20259,3105,15535,1619
2011,AK,Alaska,723860,4416,30,576,3374,19094,2852,14854,1388
2012,AK,Alaska,730307,4412,30,630,3169,20037,2950,15565,1522
2013,AK,Alaska,737259,4709,34,623,3127,21211,2917,16599,1695
2014,AK,Alaska,737046,4684,41,629,3243,20334,3150,15445,1739
2015,AK,Alaska,737709,5391,59,761,3671,20806,3511,15249,2046
2016,AK,Alaska,741522,5966,52,850,4011,24876,4053,17766,3057
2017,AK,Alaska,739786,6338,62,952,4250,26203,4167,17782,4254
2018,AK,Alaska,735139,6555,47,896,4400,24345,3985,16364,3996
2019,AK,Alaska,733603,6346,69,826,4349,21293,3558,15118,2617
2020,AK,Alaska,731158,6126,49,712,4233,16528,2775,11784,1969
2010,AZ,Arizona,6413158,26528,408,6953,16976,226802,50932,154137,21733
2011,AZ,Arizona,6467315,26789,397,7145,16748,229896,54695,155400,19801
2012,AZ,Arizona,6551149,28077,358,7383,18054,231701,52911,159808,18982
2013,AZ,Arizona,6634997,27576,355,6656,17391,223294,48292,158036,16966
2014,AZ,Arizona,6728783,26422,311,6225,16614,213406,43412,152683,17311
2015,AZ,Arizona,6817565,27968,306,6360,18193,207184,38010,152388,16786
2016,AZ,Arizona,6908642,32542,389,7045,21804,207317,38216,150618,18483
2017,AZ,Arizona,7048876,35647,422,7440,24163,204999,37722,148251,19026
2018,AZ,Arizona,7158024,34053,383,6509,23556,192730,31787,141789,19154
2019,AZ,Arizona,7291843,32603,397,6305,22251,177628,29170,130427,18031
