datetime,weather,temperature(C),feel_like(C),wind_speed(km/h),wind_direction,wind_gust(km/h),cloud(%),humidity(%),rain(mm),pressure
2015-01-01 00:00:00,Patchy snow possible,-7,-16,35,NW,50,12,44,0.0,1021
2015-01-01 01:00:00,Patchy snow possible,-7,-16,35,NW,50,12,44,0.0,1021
2015-01-01 02:00:00,Patchy snow possible,-7,-16,35,NW,50,12,44,0.0,1021
2015-01-01 03:00:00,Clear,-8,-18,36,NW,52,8,42,0.0,1022
2015-01-01 04:00:00,Clear,-8,-18,36,NW,52,8,42,0.0,1022
2015-01-01 05:00:00,Clear,-8,-18,36,NW,52,8,42,0.0,1022
2015-01-01 06:00:00,Clear,-9,-18,31,NW,46,2,46,0.0,1022
2015-01-01 07:00:00,Clear,-9,-18,31,NW,46,2,46,0.0,1022
2015-01-01 08:00:00,Clear,-9,-18,31,NW,46,2,46,0.0,1022
2015-01-01 09:00:00,Sunny,-9,-18,25,NW,34,2,46,0.0,1024
2015-01-01 10:00:00,Sunny,-9,-18,25,NW,34,2,46,0.0,1024
2015-01-01 11:00:00,Sunny,-9,-18,25,NW,34,2,46,0.0,1024
2015-01-01 12:00:00,Sunny,-7,-16,31,NW,37,0,43,0.0,1023
2015-01-01 13:00:00,Sunny,-7,-16,31,NW,37,0,43,0.0,1023
2015-01-01 14:00:00,Sunny,-7,-16,31,NW,37,0,43,0.0,1023
2015-01-01 15:00:00,Sunny,-6,-14,26,WNW,32,0,44,0.0,1024
2015-01-01 16:00:00,Sunny,-6,-14,26,WNW,32,0,44,0.0,1024
2015-01-01 17:00:00,Sunny,-6,-14,26,WNW,32,0,44,0.0,1024
2015-01-01 18:00:00,Clear,-7,-14,21,NW,32,0,56,0.0,1025
2015-01-01 19:00:00,Clear,-7,-14,21,NW,32,0,56,0.0,1025
2015-01-01 20:00:00,Clear,-7,-14,21,NW,32,0,56,0.0,1025
2015-01-01 21:00:00,Clear,-9,-12,8,NW,10,10,63,0.0,1026
2015-01-01 22:00:00,Clear,-9,-12,8,NW,10,10,63,0.0,1026
2015-01-01 23:00:00,Clear,-9,-12,8,NW,10,10,63,0.0,1026
2015-01-02 00:00:00,Partly cloudy,-8,-11,7,NNW,10,60,70,0.0,1025
2015-01-02 01:00:00,Partly cloudy,-8,-11,7,NNW,10,60,70,0.0,1025
2015-01-02 02:00:00,Partly cloudy,-8,-11,7,NNW,10,60,70,0.0,1025
2015-01-02 03:00:00,Partly cloudy,-8,-12,10,NNW,14,48,67,0.0,1025
2015-01-02 04:00:00,Partly cloudy,-8,-12,10,NNW,14,48,67,0.0,1025
2015-01-02 05:00:00,Partly cloudy,-8,-12,10,NNW,14,48,67,0.0,1025
2015-01-02 06:00:00,Partly cloudy,-8,-12,8,N,13,55,73,0.0,1023
2015-01-02 07:00:00,Partly cloudy,-8,-12,8,N,13,55,73,0.0,1023
2015-01-02 08:00:00,Partly cloudy,-8,-12,8,N,13,55,73,0.0,1023
2015-01-02 09:00:00,Cloudy,-7,-11,9,NNW,12,77,61,0.0,1023
2015-01-02 10:00:00,Cloudy,-7,-11,9,NNW,12,77,61,0.0,1023
2015-01-02 11:00:00,Cloudy,-7,-11,9,NNW,12,77,61,0.0,1023
2015-01-02 12:00:00,Sunny,-4,-12,25,NW,32,7,32,0.0,1023
